DEPTH,CMSE_lateral,Shmin_lateral
7848,28344.2793,2048.606201
7849,28325.85742,2052.324951
7850,28291.75781,2057.196045
7851,28266.39844,2061.032959
7852,28238.20313,2061.418945
7853,28204.02344,2061.663574
7854,27856.20703,2062.093262
7855,27470.65625,2061.831299
7856,27184.17773,2061.60376
7857,27148.95703,2061.842285
7858,27130.60547,2061.997559
7859,27128.63281,2051.533447
7860,27406.98242,2047.025269
7861,27800.53516,2041.183228
7862,28125.92383,2036.380493
7863,28212.14648,2034.565186
7864,28600.5332,2033.178711
7865,28731.9043,2032.184448
7866,28884.08203,2031.113525
7867,29033.55859,2030.083496
7868,29194.71875,2028.695679
7869,29308.38086,2026.565186
7870,29091.40234,2028.1875
7871,29094.92578,2027.299683
7872,29063.55859,2026.585327
7873,29035.4082,2026.109131
7874,29038.26953,2025.933472
7875,29041.53516,2024.33374
7876,29038.37109,2023.555908
7877,29060.67969,2022.800171
7878,29098.14258,2021.548584
7879,29137.67578,2020.378784
7880,29218.38281,2019.799194
7881,29225.35742,2019.339233
7882,29247.63867,2018.581055
7883,29291.53906,2017.491943
7884,29348.76953,2016.269897
7885,29413.58398,2015.120728
7886,29364.61328,2015.148315
7887,29394.29102,2014.271484
7888,29462.875,2013.204834
7889,29515.92383,2013.190308
7890,29564.79297,2012.186401
7891,29594.40625,2012.257446
7892,29627.36133,2012.338501
7893,29680.64844,2012.005859
7894,29637.21875,2011.745483
7895,29674.31836,2011.134155
7896,29634.92188,2010.509033
7897,29576.69141,2010.130615
7898,29555.20898,2009.87085
7899,29546.06836,2009.995483
7900,29634.9707,2009.286255
7901,29645.33789,2009.157837
7902,29706.13281,2008.452637
7903,29768.3418,2007.535767
7904,29787.01563,2007.047852
7905,29789.85742,2007.212402
7906,29799.01953,2008.322754
7907,29774.99219,2009.5448
7908,29770.35352,2007.953979
7909,29775.84375,2006.200684
7910,29767.77344,2011.006226
7911,29707.375,2015.585815
7912,29601.13477,2016.049438
7913,29730.59961,2015.414551
7914,29860.2207,2016.073486
7915,29427.31641,2017.210083
7916,29032.70703,2018.307617
7917,29056.72461,2018.849609
7918,29158.68555,2019.018677
7919,28946.88281,2021.986694
7920,28678.88281,2025.025879
7921,28938.70313,2022.308716
7922,29218.23438,2019.724487
7923,29175.32813,2021.574097
7924,29038.56445,2024.475098
7925,28989.79883,2026.331665
7926,28915.42773,2028.118896
7927,28882.84766,2029.77356
7928,28827.13281,2031.533813
7929,28702.67383,2033.442871
7930,28580.4082,2035.602905
7931,28430.16992,2038.417358
7932,28345.67773,2040.341309
7933,28255.34766,2042.328857
7934,28173.29883,2044.033203
7935,28069.26172,2045.805786
7936,27916.4082,2046.051758
7937,27784.54883,2043.63147
7938,27678.7207,2042.726318
7939,27619.88281,2043.540283
7940,27524.3418,2044.561523
7941,27572.49805,2045.363403
7942,27875.5,2045.319824
7943,28076.47656,2044.786011
7944,28135.82617,2044.80957
7945,28160.375,2045.42688
7946,28192.98633,2046.598145
7947,28128.72852,2049.295654
7948,27894.2168,2053.855713
7949,27725.07813,2055.030518
7950,27669.28906,2055.849365
7951,27535.48828,2056.474609
7952,27390.54688,2057.512695
7953,27264.75391,2058.827881
7954,27268.89453,2060.112061
7955,27215.92969,2060.866943
7956,27196.41406,2061.449463
7957,27195.50391,2061.416748
7958,27204.3457,2060.990234
7959,27216.31055,2060.352783
7960,27095.30273,2061.096924
7961,27087.79297,2060.436279
7962,27049.91016,2059.924316
7963,27075.53125,2054.66333
7964,27164.64648,2051.984619
7965,27255.44336,2046.121948
7966,27338.92578,2044.304932
7967,27428.7832,2042.50293
7968,27877.13281,2040.684692
7969,28102.51367,2034.119141
7970,28577.31836,2027.856689
7971,28712.5332,2024.229248
7972,28851.45117,2025.494263
7973,28970.80273,2026.530518
7974,29160.39453,2030.344849
7975,29577.98438,2033.042114
7976,29518.18164,2039.847412
7977,29487.49805,2040.577271
7978,29456.8125,2041.307129
7979,29426.12891,2042.036987
7980,29395.44531,2042.766846
7981,29364.75977,2043.496704
7982,29334.07617,2044.226563
7983,29272.64844,2045.519775
7984,29211.21875,2046.812988
7985,29149.79102,2048.106201
7986,29070.66211,2050.156006
7987,29026.44531,2050.677246
7988,28982.23047,2051.19873
7989,28938.01563,2051.719971
7990,28893.79883,2052.241211
7991,28849.58203,2052.762695
7992,28805.36719,2053.283936
7993,28761.15234,2053.80542
7994,28716.93555,2054.32666
7995,28672.71875,2054.8479
7996,28628.50391,2055.369385
7997,28584.28906,2055.890625
7998,28540.07227,2056.411865
7999,28495.85547,2056.93335
8000,28451.64063,2057.45459
